"1","2","SKU_ID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118"
"2013-06-08","2014-11-08","SKU_1",0.002,0.01,0.005,0.006,0.006,0.014,0.009,0.0115,0.0175,0.022,0.016,0.017,0.019,0.0275,0.0195,0.0155,0.0165,0.023,0.02,0.0215,0.012,0.0085,0.0135,0.01,0.006,0.0135,0.012,0.0135,0.0105,0.003,0.0115,0.0165,0.011,0.0205,0.013,0.0145,0.007,0.0125,0.0115,0.0155,0.021,0.0215,0.028,0.027,0.042,0.024,0.031,0.0325,0.018,0.019,0.023,0.024,0.02,0.019,0.0315,0.021,0.0185,0.019,0.018,0.0075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-09-07","2014-05-03","SKU_10",0.001,0.009,0.008,0.01,0.019,0.0155,0.008,0.009,0.0255,0.01,0.073,0.009,0.0235,0.019,0.0175,0.019,0.01,0.0235,0.0165,0.031,0.0145,0.0245,0.03,0.0355,0.1295,0.0365,0.082,0.0885,0.073,0.0745,0.0555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-11-02","2015-05-16","SKU_100",0.0052,0.00805,0.00895,0.0074,0.0159,0.00695,0.0038,0.008,0.01135,0.01815,0.0138,0.0138,0.0283,0.0223,0.0283,0.01655,0.03405,0.019,0.03675,0.027,0.05925,0.035,0.0589,0.0749,0.03745,0.0023,0.0046,0.01905,0.0128,0.01185,0.02675,0.01135,0.0117,0.02165,0.0213,0.045,0.02165,0.01825,0.03885,0.0097,0.02685,0.01065,0.0096,0.02905,0.0175,0.0123,0.01805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-06-08","2014-01-25","SKU_101",0.0016,0.0093,0.0192,0.0121,0.0216,0.0464,0.011,0.0345,0.0178,0.0194,0.0228,0.0296,0.0317,0.0438,0.0614,0.0359,0.0313,0.022,0.044,0.0409,0.0367,0.0514,0.0366,0.0732,0.0274,0.061,0.042,0.0669,0.0166,0.0319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-01","2014-11-15","SKU_102",6e-04,0.0086,0.0046,0.0044,0.009,0.0348,0.0262,0.0448,0.0392,0.0402,0.0716,0.0652,0.1292,0.042,0.0478,0.0474,0.0432,0.129,0.0134,0.0134,0.056,0.0396,0.0306,0.0218,0.0372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-02-21","2016-04-23","SKU_103",0.001,0.0025,0.0055,0.014,0.03,0.006,0.023,0.015,0.0155,0.0175,0.019,0.0085,0.014,0.0105,0.035,0.0465,0.0255,0.039,0.0185,0.0335,0.043,0.0165,0.017,0.0165,0.0375,0.0295,0.01,0.0315,0.0235,0.0175,0.0175,0.028,0.0115,0.0325,0.01,0.0255,0.0165,0.0345,0.024,0.008,0.012,0.0155,0.023,0.007,0.011,0.0195,0.009,0.057,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-06-07","2015-05-16","SKU_104",9e-04,0.0059,0.0062,0.0057,0.0175,0.0104,0.0329,0.0289,0.0329,0.0218,0.023,0.0117,0.0257,0.0268,0.0194,0.0296,0.0237,0.0219,0.0186,0.0199,0.0417,0.019,0.0251,0.0417,0.0162,0.0251,0.0335,0.0235,0.0129,0.0221,0.0166,0.0275,0.0326,0.0356,0.0247,0.0241,0.0311,0.0358,0.019,0.035,0.0139,0.0249,0.0177,0.0184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-07-12","2016-04-23","SKU_105",1e-04,0.00072,0.00056,0.00142,0.00114,0.00112,0.00172,0.00092,0.00256,0.00188,0.00268,0.00702,0.00672,0.01104,0.00744,0.01322,0.00666,0.0088,0.01072,0.00852,0.00946,0.01456,0.0143,0.00386,0.00466,0.00914,0.01192,0.00926,0.01186,0.01178,0.0113,0.00936,0.0095,0.01314,0.00824,0.01596,0.01964,0.01146,0.01242,0.01494,0.01604,0.0135,0.01164,0.02538,0.01518,0.0138,0.0172,0.0236,0.01982,0.01784,0.0325,0.01228,0.01214,0.01928,0.02138,0.02148,0.01684,0.01258,0.01606,0.02114,0.01382,0.01536,0.01882,0.01802,0.02064,0.01916,0.01316,0.0157,0.01516,0.01238,0.01064,0.00754,0.0137,0.01118,0.01624,0.00688,0.0075,0.01218,0.01874,0.01158,0.03866,0.00152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-02-28","2015-09-19","SKU_106",0.0148,0.0012,0.0012,0.0354,0.0898,0.017,0.035,0.0022,0.0058,0.0064,0.317,0.0078,0.0104,0.0194,0.0448,0.054,0.0226,0.0426,0.1284,0.0238,0.0266,0.0936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-09-21","2014-11-01","SKU_107",2e-04,0,0,0,0,0,8e-04,0.0044,0.0136,0.007,0.01,0.0134,0.005,0.0022,0.0032,0.0116,0.0122,0.0114,0.0132,0.0248,0.0152,0.0256,0.0164,0.0206,0.0194,0.0358,0.0302,0.028,0.0378,0.042,0.046,0.0334,0.0144,0.0248,0.021,0.0246,0.0394,0.0202,0.026,0.0184,0.0118,0.0212,0.0184,0.166,0.0304,0.0182,0.0184,0.0116,0.0136,0.0186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
