"Week","SKU.A.2","SKU.B.2","SKU.C.1","SKU.C.2","SKU.F.1","SKU.F.2","SKU.H.2","SKU.I.2","SKU.J.2","SKU.K.2","SKU.L.1","SKU.L.2","SKU.M.2","SKU.O.1","SKU.O.2","SKU.Q.2","SKU.S.2","SKU.B.1","SKU.E.2","SKU.G.2","SKU.H.1","SKU.K.1","SKU.N.2","SKU.Q.1","SKU.M.1","SKU.Q.3","SKU.C.3","SKU.F.3","SKU.H.3","SKU.K.3","SKU.O.3","SKU.B.3","SKU.G.3","SKU.L.3","SKU.N.3","SKU.A.3","SKU.E.3","SKU.I.3","SKU.S.3","SKU.U.3","SKU.T.3","SKU.J.3","SKU.B.4","SKU.O.4","SKU.Q.4","SKU.U.4","SKU.W.4","SKU.C.4","SKU.K.4","SKU.L.4","SKU.A.4","SKU.T.4","SKU.D.4","SKU.F.4","SKU.G.4","SKU.H.4","SKU.V.4","SKU.I.4","SKU.N.4","SKU.R.4","SKU.S.4","SKU.J.4","SKU.E.4","SKU.P.4","SKU.A.5","SKU.D.5","SKU.K.5","SKU.C.5","SKU.B.5","SKU.R.5","SKU.T.5","SKU.U.5","SKU.V.5","SKU.Y.5","SKU.X.5","SKU.L.5","SKU.Q.5","SKU.S.5","SKU.W.5","SKU.J.5","SKU.E.5","SKU.F.5","SKU.H.5","SKU.N.5","SKU.I.5","SKU.G.5"
1,28025,118312,55542,161943,31625,120064,150956,47929,12897,144905,3423,66880,42993,4140,126115,95222,83759,557,16878,2930,5494,8917,37611,2468,2293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,48250,155573,50478,156689,33041,101911,176115,30414,7643,115447,1831,64968,59553,3981,204300,83121,86465,1433,42038,3343,4633,11146,28502,1114,3264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,40128,242675,44427,203344,20143,117198,166719,37419,3821,121497,239,117357,59395,4140,117676,83281,108121,0,62419,3981,4332,5414,17038,4140,1449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,48966,222930,18790,228025,25795,96656,144428,41721,2548,114968,239,94746,35827,5255,103344,71099,91720,478,14013,4776,4140,6369,22611,1672,3025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,74044,260351,68153,397134,18312,178185,242357,80016,17993,201512,2787,157324,80572,2070,315446,138694,152070,637,67834,8121,1066,7006,36705,4379,12420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,21497,145700,45605,150000,16083,150318,226274,42514,14999,80255,0,130892,43630,6369,214171,94267,82802,955,58503,1831,159,3185,37579,3438,8121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,32325,194587,27866,200955,21879,81370,152548,42994,5096,81688,318,88375,36624,5095,170063,36465,91242,478,27387,6688,477,7803,17993,1688,1274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,35988,161624,49681,311131,52754,156720,177547,57802,12262,93949,1114,168950,59714,3185,143153,78184,83598,318,90462,2467,1115,1433,20365,1752,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,44825,317834,17038,350796,12739,196498,193074,48408,4459,120541,239,123248,58598,13472,164173,103185,131687,637,75637,14172,1274,19267,31385,637,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,62897,175478,35350,247133,33121,139649,162579,50797,3503,125956,0,99522,47771,6688,89172,85987,100478,398,50319,7675,2707,9554,35828,0,5494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,33917,159235,42675,231051,29458,115924,135032,38057,4777,105731,557,80574,51752,0,156528,130733,94903,318,21337,12435,4936,6369,32643,159,1815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,58917,281688,66879,358121,15446,143631,190924,65288,10032,119267,0,106847,55574,4299,225478,164968,174523,0,32005,2468,1036,6209,30891,0,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,65685,266640,42436,397771,23774,160191,236784,93551,4299,159076,0,149362,48088,3662,138058,128981,189491,637,35509,1911,2118,2866,36943,478,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,29298,119905,4937,211147,26910,94426,179937,37102,7642,136942,159,159713,51911,4459,153503,117038,112580,0,27548,5891,478,955,27150,1274,3344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,54777,216721,14809,192358,29522,135669,216560,47771,3184,153980,159,87262,40924,2548,188216,94077,95143,0,14172,1273,0,2070,33455,1752,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,39968,227388,48408,311305,33758,100955,213199,44107,14506,112102,0,81273,37931,6210,148727,71816,71178,796,22453,3980,64,6369,23566,0,3981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,37341,197452,16083,200159,3423,139490,141242,27230,6369,80860,0,58281,30415,3184,59714,50636,79935,0,18472,3662,318,2388,22293,0,2548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,78344,297500,41560,229840,15605,161465,214809,97134,28662,194141,637,112515,91242,9394,197022,83376,159395,159,62103,10254,0,4458,52484,0,1672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,33916,140924,22292,145971,34394,99617,103678,44221,4570,79921,0,88757,29299,2070,124920,54299,95318,318,21003,8120,0,2261,28392,0,1273,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,18583,121003,39172,161735,31273,58089,119506,47134,7228,71019,0,79332,48296,1592,102549,61927,60748,0,11306,3026,955,1449,20828,0,3503,0,159,430,318,159,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,25032,140765,17516,114443,5032,97453,77674,27579,3392,77707,0,42993,24204,3343,90097,44650,72404,16,4936,1751,159,3503,6719,0,2866,478,0,16,159,159,796,318,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,20700,131528,23885,174043,15207,67515,93297,25716,1433,78821,0,52229,22038,4936,66099,53822,66879,318,14012,1114,159,11003,13773,0,3981,318,796,318,955,636,796,796,318,637,318,318,159,159,637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
