"sku","start","end"
"SKU-A-2",1,110
"SKU-B-2",1,110
"SKU-C-1",1,45
"SKU-C-2",1,116
"SKU-F-1",1,45
"SKU-F-2",1,116
"SKU-H-2",1,116
"SKU-I-2",1,108
"SKU-J-2",1,111
"SKU-K-2",1,116
"SKU-L-1",1,24
"SKU-L-2",1,115
"SKU-M-2",1,116
"SKU-O-1",1,50
"SKU-O-2",1,117
"SKU-Q-2",1,114
"SKU-S-2",1,115
"SKU-B-1",1,26
"SKU-E-2",1,115
"SKU-G-2",1,74
"SKU-H-1",1,27
"SKU-K-1",1,51
"SKU-N-2",1,113
"SKU-Q-1",1,36
"SKU-M-1",1,36
"SKU-Q-3",19,187
"SKU-C-3",20,186
"SKU-F-3",20,186
"SKU-H-3",20,185
"SKU-K-3",20,187
"SKU-O-3",20,187
"SKU-B-3",21,179
"SKU-G-3",21,187
"SKU-L-3",22,187
"SKU-N-3",22,176
"SKU-A-3",22,172
"SKU-E-3",22,166
"SKU-I-3",22,182
"SKU-S-3",22,183
"SKU-U-3",27,187
"SKU-T-3",28,177
"SKU-J-3",31,180
"SKU-B-4",74,187
"SKU-O-4",74,187
"SKU-Q-4",74,187
"SKU-U-4",74,187
"SKU-W-4",74,187
"SKU-C-4",75,187
"SKU-K-4",75,187
"SKU-L-4",75,187
"SKU-A-4",75,187
"SKU-T-4",76,187
"SKU-D-4",79,187
"SKU-F-4",79,187
"SKU-G-4",79,187
"SKU-H-4",79,187
"SKU-V-4",79,187
"SKU-I-4",79,187
"SKU-N-4",79,187
"SKU-R-4",80,187
"SKU-S-4",80,187
"SKU-J-4",83,186
"SKU-E-4",84,187
"SKU-P-4",127,187
"SKU-A-5",158,187
"SKU-D-5",158,187
"SKU-K-5",158,187
"SKU-C-5",159,187
"SKU-B-5",160,187
"SKU-R-5",162,187
"SKU-T-5",162,187
"SKU-U-5",162,187
"SKU-V-5",162,187
"SKU-Y-5",163,187
"SKU-X-5",166,187
"SKU-L-5",166,187
"SKU-Q-5",166,187
"SKU-S-5",166,187
"SKU-W-5",166,187
"SKU-J-5",166,187
"SKU-E-5",171,187
"SKU-F-5",174,187
"SKU-H-5",174,187
"SKU-N-5",174,187
"SKU-I-5",179,187
"SKU-G-5",179,187
